"MAE"t"beta"t"p"
"94"t4700,9722329114t2,33275296050124t0,112538592447527
"95"t9273,4278430574t1,46296027000062t0,228491331310943
"96"t14304,3258334178t1,49428122653626t0,343602635571733
"97"t13548,4200392538t0,525541816838086t0,688719363836572
"98"t14688,9622229941t1,55892207543366t0,35059158152435
"99"t451,4055020651t0,328165129758418t0,649402021849528
"100"t3324,09288889744t0,383031874895096t0,70229050538037
"101"t20029,7458179622t1,28383133397438t0,496360807679594
"102"t32095,0237770863t2,56010312517174t0,695721449679695
"103"t25767,3379074711t2,67015490913764t0,561211738036945
"104"t18442,9440230247t1,23682680213824t0,463026378327049
"105"t17897,3103382553t0,570379709126428t0,757504818146117
"106"t21139,4477658859t0,91454016789794t0,59508699933067
"107"t13615,4001651499t1,63714702357538t0,322336343093775
"108"t278,283988134332t0,307599080493674t0,524383971933275
"109"t3533,14767228859t0,932079783640802t0,111590331001207
"110"t19890,7360710294t0,833650291431695t0,590570102236234
"111"t22698,3618816029t2,75960521143861t0,495132456580177
"112"t13774,7903045088t2,31001406838186t0,3097418674035
"113"t3033,14091159283t0,628309383289889t0,144723109761253
"114"t t0,0924209940712899t0,194554757536389
"115"t12053,2995583498t2,07145166234113t0,276729710400105
"116"t390,631365257819t0,386623366037384t0,230757041904144
"117"t30587,7665879093t2,04233257379383t0,682552972063422
"118"t12874,8745743116t1,53907218715176t0,308976067276672
"119"t t0,221395220607519t0,541893125884235
"120"t23321,2095911128t1,40238454844803t0,558918356942013
"121"t10730,573716991t1,18316399725154t0,27944513130933
"122"t5930,06974918989t0,793188259704039t0,199900532490574
"123"t25477,7501888075t1,75847287243232t0,582272409205325
"124"t t0,139412797288969t0,152474829438143
"125"t18394,8974762489t1,52382347197272t0,438223598455079
"126"t19337,0763737275t1,93490369198844t0,440611107368022
"127"t t0,00775199197232723t0,554531100345776
"128"t248,342816577818t0,353179184021428t0,272833758452907
"129"t34756,566437673t2,71085977647454t0,750769634963945
"130"t26083,7117542195t1,39057054929435t0,626087899226695
"131"t10214,0940147608t2,67465283535421t0,228433264768682
"132"t11074,8061197247t2,82300899620168t0,246328515256755
"133"t7083,01084558643t0,467648005345836t0,557241405593231
"134"t20073,7064855018t2,34283726522699t0,444431442767382
"135"t12944,5019122106t0,999066452728584t0,358795077144168
"136"t14227,4467641144t1,31263029878028t0,354343820828944
"137"t22581,7693721032t2,8013040649239t0,491714829928242
"138"t27263,5362708266t1,27401400124654t0,664337740419432
"139"t15740,0933273882t1,29643634310924t0,390424581174739
"140"t1506,8783985565t0,449758832808584t0,228985950024799
"141"t29263,4437548771t0,955829022685066t0,787464550649747
"142"t25363,6668819846t1,99737376556732t0,569822200131603
"143"t20324,1662413615t2,8266766355373t0,440836264123209
